title,engine_size,engine_type,total_kms,price,link
Jack Martin Motors,Independent Dealer,2015,2.0 Diesel,"€14,450",/cars-for-sale/bmw-3-series-3-series-sport-new-timing-chain-75-p/37334598?campaign=3
Automart Lucan,Independent Dealer,2016,2.0 Diesel,"€21,499",/cars-for-sale/bmw-3-series-2016-2-0-diesel-automatic-m-sports/37546241?campaign=3
Liam Flood Cars,Independent Dealer,2016,2.0 Diesel,"€12,950",/cars-for-sale/bmw-3-series-2016-manual-service-history-/37663844?campaign=3
Braeside Car Sales,Independent Dealer,2014,2.0 Diesel,No price found,/cars-for-sale/2014-bmw-320d-m-sport-loads-of-extras/35994048
Wilsons Auctions (Dublin Car Department),Independent Dealer,2016,2.0 Petrol,No price found,/cars-for-sale/bmw-3-series-f30-e-sport-4dr-auto-1998cc/37581195
Bmw 320d,2014,2.0 Diesel,"185,000 mi","€7,250",/cars-for-sale/bmw-320d/36781928
Derek Considine Car Sales Ltd,Independent Dealer,2015,2.0 Diesel,"€16,500",/cars-for-sale/bmw-3-series-f30-d-efficiency-dynamics-plus-4dr/33407287
Ace Autos,Independent Dealer,2016,2.0 Petrol Plug-in Hybrid,"€17,950",/cars-for-sale/bmw-3-series-330e-m-sport-auto-12m-warranty-c/37575415
161 BMW 318d Automatic new NCT,2016,2.0 Diesel,"127,500 mi","€13,650",/cars-for-sale/161-bmw-318d-automatic-new-nct/36861477
Prestige Autos(Ballymount),Independent Dealer,2014,2.0 Diesel,"€17,950",/cars-for-sale/bmw-3-series-2-0l-diesel-auto-m-sport-estate/37572890
Colm Quinn BMW Drogheda,Franchise Dealer,2016,2.0 Diesel,"€21,995",/cars-for-sale/bmw-3-series-320d-luxury-auto/37572016
BMW 3-Series 2014 Business Sport,2014,2.0 Diesel,"137,566 km","€10,900",/cars-for-sale/bmw-3-series-2014-business-sport/37559278
BMW 320D White,2014,2.0 Diesel,"198,307 km","€10,500",/cars-for-sale/bmw-320d-white/37558777
Tractamotors Blanchardstown Ltd,Franchise Dealer,2015,2.0 Diesel,"€13,799",/cars-for-sale/bmw-3-series-316d-se-4dr-auto/37553291
Bluegate Car Store by Frank Keane,Franchise Dealer,2016,2.0 Hybrid,"€16,995",/cars-for-sale/bmw-3-series-semi-digital-dash-sat-navigation-bl/37557040
