title,engine_size,engine_type,total_kms,price,link
Ruson Motor Company,Independent Dealer,2016,2.1 Diesel,"€22,950",/cars-for-sale/mercedes-c220d-coupe-amg-warranty-new-nct/36304493
T-Met Ltd,Independent Dealer,2014,2.1 Diesel,No price found,/cars-for-sale/mercedes-benz-c-class-2014-breaking-for-parts/32885432
•Reserved,2015,2.1 Diesel,"199,112 km",€0,/cars-for-sale/reserved/36976000
Long Mile Motors Ltd,Independent Dealer,2015,1.6 Diesel,"€13,995",/cars-for-sale/2015-mercedes-benz-c-class-1-6-cdi-new-nct-warrant/36791957
Jim Rock Motors,Independent Dealer,2016,2.0 Petrol Plug-in Hybrid,"€18,995",/cars-for-sale/mercedes-benz-c-class-2-0-petrol-plug-in-hybrid/36708055
Conlans Kildare,Independent Dealer4.5/5,2016,2.1 Diesel,No price found,/cars-for-sale/mercedes-benz-c-class-c-220-d-avantgarde-a-t/34819537
Dan Seaman Motors,Franchise Dealer,2016,2.0 Petrol Plug-in Hybrid,"€22,950",/cars-for-sale/mercedes-benz-2016-c350-e-sport-premium-plus-mhev/36985600
Empire Trade Sales,Independent Dealer,2014,2.1 Diesel,"€13,500",/cars-for-sale/sell-your-car-today/34246166
The Eagles Car Sales,Independent Dealer,2016,1.6 Diesel,"€19,950",/cars-for-sale/mercedes-benz-c-series-d-amg-line-4dr/35907580
Pauric Byrne Cars,Independent Dealer,2016,2.1 Diesel,"€27,450",/cars-for-sale/mercedes-benz-c-class-220cdi-amg-premium-plus-2016/37332721?campaign=3
SPOTLIGHT,2016,1.6 Diesel,"202,000 km","€11,990",/cars-for-sale/mercedes-c-class-upgraded-alloys-mint/37680543?campaign=3
MotorCorp,Independent Dealer,2016,2.0 Hybrid,"€16,990",/cars-for-sale/mercedes-benz-c-class-c350e-sport-premium-plus/37633329?campaign=3
Michael Grant Motors,Independent Dealer4.6/5,2015,1.6 Diesel,"€17,250",/cars-for-sale/mercedes-benz-c-class-c180d-bluetec-irish-car-o/37510697
Autoxpress,Independent Dealer,2015,2.1 Diesel,"€12,995",/cars-for-sale/mercedes-benz-c-class-reverse-camera/37673066
Autoxpress,Independent Dealer,2014,2.1 Diesel,"€14,995",/cars-for-sale/mercedes-benz-c-class-c220-bluetec-sport-automat/37673059
Autoxpress,Independent Dealer,2015,2.1 Diesel,"€12,995",/cars-for-sale/mercedes-benz-c-class-reverse-camera/37672517
Autoxpress,Independent Dealer,2014,2.1 Diesel,"€14,995",/cars-for-sale/mercedes-benz-c-class-c220-bluetec-sport-automat/37672506
Autoxpress,Independent Dealer,2015,2.1 Diesel,"€12,995",/cars-for-sale/mercedes-benz-c-class-reverse-camera/37671698
Conachy's Dunleer Ltd.,Independent Dealer,2015,2.1 Diesel,"€21,950",/cars-for-sale/mercedes-benz-c-class-c-series-d-amg-line-premium/37670855
2015 Mercedes-Benz C220d AMG 4dr Auto,2015,2.1 Diesel,"186,877 km","€15,995",/cars-for-sale/2015-mercedes-benz-c220d-amg-4dr-auto/37670002
Long Mile Motors Ltd,Independent Dealer,2015,2.1 Diesel Hybrid,"€17,000",/cars-for-sale/mercedes-benz-c-300-bluetec-231-bhp/37470321
Marble City Motors,Independent Dealer,2016,1.6 Diesel,"€18,950",/cars-for-sale/mercedes-benz-c-class-c200-d-sport-4dr/37173930
JJCA Motors LTD,Independent Dealer,2016,2.1 Diesel,"€18,750",/cars-for-sale/mercedes-benz-c-class-2016-stunning/37033054
Killaloe Auto Sales Ltd,Independent Dealer,2016,1.6 Diesel,"€17,950",/cars-for-sale/2016-mercedes-benz-c-class-1-6-automatic/37667833
