title,engine_size,engine_type,total_kms,price,link
BMW 318D Automatic - Low Mile - full bmw serv hist,2016,2.0 Diesel,"98,027 km","€15,900",/cars-for-sale/bmw-318d-automatic-low-mile-full-bmw-serv-hist/37432967
BMW 3-Series 2014,2014,2.0 Diesel,"186,000 mi","€12,900",/cars-for-sale/bmw-3-series-2014/37465005
**BMW F30 LCI 2.0 Diesel**,2016,2.0 Diesel,"111,000 mi","€15,000",/cars-for-sale/bmw-f30-lci-2-0-diesel/37644859
BMW 3-Series 2015 M Performance (NCT 2026),2015,2.0 Diesel,"101,779 km","€16,750",/cars-for-sale/bmw-3-series-2015-m-performance-nct-2026/37431999
"BMW 3-Series 2016, 252bhp.",2016,2.0 Petrol Plug-in Hybrid,"235,000 km","€14,000",/cars-for-sale/bmw-3-series-2016-252bhp-/36962845
"BMW 3 Series 2014 Diesel Automatic, LOW KMS",2014,2.0 Diesel,"154,540 km","€10,850",/cars-for-sale/bmw-3-series-2014-diesel-automatic-low-kms/37621963
BMW 320D M Sport Touring,2015,2.0 Diesel,"101,515 mi","€14,500",/cars-for-sale/bmw-320d-m-sport-touring/37591846
Bmw 320D Msport,2015,2.0 Diesel,"73,000 km","€18,950",/cars-for-sale/bmw-320d-msport/37430182
Jim Carey Car Sales,Independent Dealer,2015,2.0 Diesel,"€20,950",/cars-for-sale/bmw-3-series-msports-2015-1/37082537
BMW 320 Gran Turismo,2015,2.0 Diesel,"95,625 mi","€17,500",/cars-for-sale/bmw-320-gran-turismo/37590346
BMW 320d m-sport,2015,2.0 Diesel,"170,000 mi","€16,500",/cars-for-sale/bmw-320d-m-sport/37538117
🔥 BMW 330E Automatic Hybrid 🔥,2016,2.0 Petrol Plug-in Hybrid,"208,000 km","€16,500",/cars-for-sale/bmw-330e-automatic-hybrid/37590155
Castle Motors,Independent Dealer,2016,2.0 Petrol Plug-in Hybrid,"€20,900",/cars-for-sale/bmw-3-series-330-e-2-0-m-sport-plug-in/36409988?campaign=3
Naas Road Autos,Independent Dealer,2016,2.0 Diesel,"€21,950",/cars-for-sale/bmw-3-series-2-0d-m-sport-plus-with-leather-5dr-e/37626334?campaign=3
SPOTLIGHT,2015,3.0 Diesel,100 mi,"€26,250",/cars-for-sale/335d-m-sport-xdrive-lci/37458526?campaign=3
Merlin Car Auctions,Independent Dealer,2015,2.0 Diesel,No price found,/cars-for-sale/bmw-3-series-se-z3ap-1995/37641265
Autoxpress,Independent Dealer,2015,2.0 Petrol,"€20,995",/cars-for-sale/bmw-3-series-320i-gt-sport-automatic-reverse-cam/37641291
Car Care Centre,Independent Dealer,2016,2.0 Diesel,"€15,950",/cars-for-sale/2016-bmw-318d-f30-150-bhp/37420348
Merlin Car Auctions,Independent Dealer,2015,2.0 Diesel,No price found,/cars-for-sale/bmw-3-series-se-z3ap-1995/37640505
CBC Motors,Independent Dealer,2014,2.0 Diesel,"€13,950",/cars-for-sale/bmw-3-series-2014141-318d-m-performance/37318862
