title,engine_size,engine_type,total_kms,price,link
Mercedes-Benz C-Class 2015,2015,2.1 Diesel,"141,000 km","€19,000",/cars-for-sale/mercedes-benz-c-class-2015/36602351
Mercedes C350E SPORT 280BHP C Class Hybrid,2016,2.0 Petrol Plug-in Hybrid,"110,000 km","€19,000",/cars-for-sale/mercedes-c350e-sport-280bhp-c-class-hybrid/37562813
2016 Mercedes Benz C220 AMG line Auto,2016,2.1 Diesel,"160,000 mi","€15,500",/cars-for-sale/2016-mercedes-benz-c220-amg-line-auto/37594795
Fallon & Hughes Cars,Independent Dealer,2016,2.0 Petrol Plug-in Hybrid,"€19,495",/cars-for-sale/mercedes-c-class-c350e-sport-premium-plus-278bh/37348872
Fallon & Hughes Cars,Independent Dealer,2016,2.0 Petrol Plug-in Hybrid,"€13,950",/cars-for-sale/mercedes-benz-c-class-c350e-class-hybrid-estate/36810153
Mercedes C Class 2015,2015,1.6 Diesel,"184,000 km","€13,800",/cars-for-sale/mercedes-c-class-2015/37424504
Mercedes-Benz C250 AMG Premium Plus,2016,2.1 Diesel,"114,000 km","€41,000",/cars-for-sale/mercedes-benz-c250-amg-premium-plus/37633820
Mercedes C Class AMG Premium Plus,2015,2.1 Diesel,"140,000 mi","€14,800",/cars-for-sale/mercedes-c-class-amg-premium-plus/37532252
Long Mile Motors Ltd,Independent Dealer,2015,2.1 Diesel Hybrid,"€17,000",/cars-for-sale/mercedes-benz-c-300-bluetec-231-bhp/37470321
2014 C63 ESTATE W204,2014,6.2 Petrol,"51,000 mi","€37,950",/cars-for-sale/2014-c63-estate-w204/37506701
Mercedes c250 amg,2015,2.1 Diesel,"165,223 km","€15,750",/cars-for-sale/mercedes-c250-amg/37488377
Motor Wholesales,Independent Dealer,2015,2.1 Diesel,"€15,900",/cars-for-sale/15-mercedes-cla220cdi-amg-line/37257722
Drive Automotive LTD,Independent Dealer,2016,2.0 Petrol Plug-in Hybrid,"€14,900",/cars-for-sale/mercedes-benz-c-class-2016-c300-hybrid/37497675
J.Reynolds Car Sales,Independent Dealer,2015,1.6 Diesel,"€14,999",/cars-for-sale/mercedes-c200-cdi-exclusive-auto-low-km-2015/37076897
2015 Mercedes c220 Nct and taxed,2015,2.1 Diesel,"180,000 mi","€9,450",/cars-for-sale/2015-mercedes-c220-nct-and-taxed/37625630
2016 Mercedes-Benz C350E 279 HP Sport Premium Plus,2016,2.0 Petrol Plug-in Hybrid,"90,000 km","€17,950",/cars-for-sale/2016-mercedes-benz-c350e-279-hp-sport-premium-plus/37634501
MotorCorp,Independent Dealer,2016,2.0 Hybrid,"€16,990",/cars-for-sale/mercedes-benz-c-class-c350e-sport-premium-plus/37633329
