title,engine_size,engine_type,total_kms,price,link
SPOTLIGHT,2015,3.0 Diesel,"145,000 mi","€16,300",/cars-for-sale/bmw-530d-2015-new-timing-chain/37450185?campaign=3
Carlow Auto Works,Independent Dealer,2016,3.0 Diesel,"€24,995",/cars-for-sale/bmw-530d-m-sport-touring-auto/37590016?campaign=3
Sarsfield Motors,Independent Dealer,2016,2.0 Petrol Plug-in Hybrid,"€14,950",/cars-for-sale/2016-bmw-330e-m-sport-auto-/37604445
Beacon Motors,Independent Dealer,2016,2.0 Diesel,"€23,900",/cars-for-sale/45-000-milesbmw-523dm-sport-editionamazing-on/37657928
BMW 520d M-Sport 2015,2015,2.0 Diesel,"257,600 km","€11,750",/cars-for-sale/bmw-520d-m-sport-2015/37397050
BMW 520D 2016 M Sport,2016,2.0 Diesel,"117,000 mi",No price found,/cars-for-sale/bmw-520d-2016-m-sport/37139960
Drift99 Motors Ltd,Independent Dealer,2014,1.2 Petrol,"€11,950",/cars-for-sale/2014-bmw-1-series-116i-sport-automatic/37624142
Drift99 Motors Ltd,Independent Dealer,2016,2.0 Diesel,"€17,950",/cars-for-sale/2016-bmw-2-series-auto-7-seater-2-0-diesel/37334933
BMW 420D MSport 225bhp XDrive,2014,2.0 Diesel,"138,300 mi","€18,000",/cars-for-sale/bmw-420d-msport-225bhp-xdrive/37584857
BG Motors Ltd.,Independent Dealer,2015,2.0 Diesel,"€14,990",/cars-for-sale/bmw-5-series-520d-seg1-5e52-4dr-auto/37428112
Quality Motors,Independent Dealer,2015,1.6 Petrol,"€14,495",/cars-for-sale/2015-bmw-2-series-s31/36241352
Quality Motors,Independent Dealer,2014,2.0 Petrol,"€16,995",/cars-for-sale/2014-bmw-320i-m-sport-automatic-s34/37145721
Quality Motors,Independent Dealer,2014,2.0 Petrol,"€16,995",/cars-for-sale/2014-bmw-320i-automatic-s43/37188389
Quality Motors,Independent Dealer,2014,Petrol,"€13,995",/cars-for-sale/2014-bmw-116i-automatic-s3/37094684
Quality Motors,Independent Dealer,2014,2.0 Petrol,"€16,995",/cars-for-sale/2014-bmw-320i-m-sport-automatic-s37/37145736
BMW 3-Series 2014,2014,2.0 Diesel,"136,000 mi","€8,900",/cars-for-sale/bmw-3-series-2014/37474121
BMW 3-Series 2015,2015,2.0 Diesel,"234,000 km","€12,000",/cars-for-sale/bmw-3-series-2015/37604411
Frank Keane BMW,Franchise Dealer4.4/5,2014,2.0 Diesel,"€14,500",/cars-for-sale/bmw-3-series-318d-se-saloon/37657402
Jack Byrne Motors,Independent Dealer,2016,2.0 Diesel,"€17,950",/cars-for-sale/320d-sport-auto-low-mileage/37657391
BMW 7 SERIES 740d G11 D XDRIVE M SPORT 4DR AUTO,2016,3.0 Diesel,"180,000 km","€35,000",/cars-for-sale/bmw-7-series-740d-g11-d-xdrive-m-sport-4dr-auto/36390506
Crinigan Motorsport,Independent Dealer,2015,1.5 Hybrid,"€49,900",/cars-for-sale/bmw-i8-massive-spec-bmw-warranty/37633210
Sarsfield Motors,Independent Dealer,2016,2.0 Diesel,"€17,950",/cars-for-sale/2016-bmw-520d-m-sport-auto-/37657234
BMW 330d M Sport 256 BHP,2014,3.0 Diesel,"113,000 mi","€15,000",/cars-for-sale/bmw-330d-m-sport-256-bhp/37584510
Well Priced Cars,Independent Dealer,2015,2.0 Diesel,"€18,750",/cars-for-sale/bmw-5-series-d-5e52-4dr-auto-se-g1/37448938
BMW 2-SERIES 218D,2015,2.0 Diesel,"181,000 km","€13,500",/cars-for-sale/bmw-2-series-218d/37610563
BMW GT 318D M SPORT AUTO 2014 SUPERB CONDITION,2014,2.0 Diesel,"233,000 km","€11,950",/cars-for-sale/bmw-gt-318d-m-sport-auto-2014-superb-condition/37452229
Automatic Motor Car Centre,Independent Dealer,2014,1.6 Petrol,"€12,950",/cars-for-sale/bmw-1-series-only-12950-automatic-1-6-petrol-/34003778
Pa Moore Car Sales,Independent Dealer,2016,2.0 Diesel,"€29,950",/cars-for-sale/bmw-x4-1-owner-f-s-h/37656800
Bmw 420 NCT/TAX,2014,2.0 Diesel,"180,000 mi","€14,750",/cars-for-sale/bmw-420-nct-tax/37443937
Pa Moore Car Sales,Independent Dealer,2016,2.0 Diesel,"€15,950",/cars-for-sale/bmw-5-series-sat-nav-automatic/37656730
Pa Moore Car Sales,Independent Dealer,2015,2.0 Diesel,"€12,950",/cars-for-sale/bmw-5-series-camera-automatic/37656712
Elite Autos,Independent Dealer,2016,2.0 Diesel,"€17,995",/cars-for-sale/bmw-118d-sport-automatic-2016/36767252
SPOTLIGHT,2014,1.6 Petrol,"80,000 km","€12,500",/cars-for-sale/bmw-1-series/36994115?campaign=3
Automatic Motor Car Centre,Independent Dealer,2014,1.6 Petrol,"€14,750",/cars-for-sale/bmw-1-series-bmw-1-series-automatic-116i-m-sport/37286045?campaign=3
Automatic Motor Car Centre,Independent Dealer,2014,1.6 Petrol,"€12,950",/cars-for-sale/bmw-1-series-bmw-1-series-116i-automatic/37286049?campaign=3
Elite Autos,Independent Dealer,2015,2.0 Diesel,"€16,995",/cars-for-sale/bmw-218d-grand-tourer-automatic-7-seater-2015/36948671
Shevlins Garage,Independent Dealer,2014,2.0 Diesel,"€17,495",/cars-for-sale/2014-142-bmw-420d-m-sport-x-drive-auto/37590157
BMW X6 F16 with 2 Years BMW Parts Warranty,2015,3.0 Diesel,"288,542 km","€25,000",/cars-for-sale/bmw-x6-f16-with-2-years-bmw-parts-warranty/37656546
Car,2014,2.0 Diesel,"200,000 km","€10,325",/cars-for-sale/car/37603411
2016 BMW 330D F30 M-SPORT,2016,3.0 Diesel,"143,000 km","€22,000",/cars-for-sale/2016-bmw-330d-f30-m-sport/37551894
R Neary Motors,Independent Dealer,2015,2.0 Diesel,"€15,950",/cars-for-sale/2015-151-bmw-520-diesel-m-sport-auto/37124223
R Neary Motors,Independent Dealer,2016,2.0 Diesel,"€19,950",/cars-for-sale/2016-162-bmw-x1-18d-m-sport-automatic/36288530
BMW 3-Series 2016,2016,2.0 Diesel,"240,000 km","€12,000",/cars-for-sale/bmw-3-series-2016/37476886
Colm Quinn Motorstore,Independent Dealer4.4/5,2015,3.0 Diesel,"€39,995",/cars-for-sale/bmw-x5-f15-3-0d-m50d-5dr-auto-39995-vat/37470218
D & L O'Connell Bros Car Sales LTD,Independent Dealer,2016,2.0 Diesel,"€18,950",/cars-for-sale/bmw-5-series-520d-5e32-4dr-se-group-1/37656143
Kevin Kennedy Motors,Independent Dealer,2015,2.0 Diesel,No price found,/cars-for-sale/bmw-5-series-518d-seg1-5e32-4dr-auto/37656062
Mount Merrion Cars,Independent Dealer,2016,2.0 Petrol Hybrid,"€23,900",/cars-for-sale/bmw-3-series-m-sport-330e-plug-in/35988349
BMW X3 2015,2015,2.0 Diesel,"280,000 km","€15,250",/cars-for-sale/bmw-x3-2015/37443350
BMW X5 3.0d M-Sport,2014,3.0 Diesel,"241,000 km","€27,500",/cars-for-sale/bmw-x5-3-0d-m-sport/37639009
Greg's Garage,Independent Dealer,2015,3.0 Diesel,"€18,995",/cars-for-sale/bmw-3-series-f30-330d-m-sport-auto/37567805
Greg's Garage,Independent Dealer,2014,2.0 Diesel,"€9,995",/cars-for-sale/bmw-5-series-d-f10-se-4dr-auto-diesel/37567728
Greg's Garage,Independent Dealer,2015,2.0 Diesel,"€25,995",/cars-for-sale/bmw-x4-xdrive20d-m-sport-22te-zx4c-4dr-auto/37259250
Greg's Garage,Independent Dealer,2014,3.0 Petrol,"€23,995",/cars-for-sale/bmw-3-series-335i-4dr-auto-performance-look-/36402222
BMW M5 - 2016 - FBMWSH - NCT & TAX.,2016,4.4 Petrol,"84,302 mi","€44,999",/cars-for-sale/bmw-m5-2016-fbmwsh-nct-tax-/36555353
Autoxpress,Independent Dealer,2016,2.0 Diesel,"€19,995",/cars-for-sale/bmw-5-series-520-d-f10-m-sport-auto/37655742
Autoxpress,Independent Dealer,2015,1.5 Petrol,"€14,500",/cars-for-sale/bmw-2-series-218i-1-5-gran-tourer-automatic-reve/37655739
BMW 1 Series 116i Sport,2014,1.6 Petrol,"84,990 km","€13,700",/cars-for-sale/bmw-1-series-116i-sport/37476548
Merlin Car Auctions,Independent Dealer,2014,2.0 Diesel,No price found,/cars-for-sale/bmw-3-series-se-z3ap-auto-1995/37654974
BMW 4-Series 2016 Gran coupe🔥🔥,2016,2.0 Diesel,"147,000 mi","€12,500",/cars-for-sale/bmw-4-series-2016-gran-coupe/37468408
Black Panther Motors Ltd,Independent Dealer,2014,2.0 Diesel,"€15,250",/cars-for-sale/bmw-520d-142-m-sport-high-spec/37550350
Killaloe Auto Sales Ltd,Independent Dealer,2014,2.0 Diesel,"€9,950",/cars-for-sale/bmw-1-series-116d-se-4dr-automatic/37527020
BMW 5-Series 2014 Automatic,2014,2.0 Diesel,"303,686 km","€8,750",/cars-for-sale/bmw-5-series-2014-automatic/36812459
BMW 320D M SPORT AUTOMATIC,2015,2.0 Diesel,"123,000 mi","€18,000",/cars-for-sale/bmw-320d-m-sport-automatic/37442968
Autoxpress,Independent Dealer,2016,2.0 Diesel,"€19,995",/cars-for-sale/bmw-5-series-520-d-f10-m-sport-auto/37655096
BMW 320D 2014 XDRIVE,2014,2.0 Diesel,"143,000 mi","€12,000",/cars-for-sale/bmw-320d-2014-xdrive/37602484
O Sullivan Cars,Independent Dealer,2015,3.0 Diesel,"€28,995",/cars-for-sale/2015-152-bmw-640d-m-sport-coupe-low-km-nct4-36/37424059?campaign=3
GP Motor Group,Independent Dealer,2015,2.0 Diesel,"€19,900",/cars-for-sale/bmw-5-series-520d-m-sport-m-performance-1-year-u/37466118?campaign=3
SPOTLIGHT,2014,2.0 Diesel,"303,686 km","€8,750",/cars-for-sale/bmw-5-series-2014-automatic/36812459?campaign=3
Clonskeagh Motors,Franchise Dealer4.9/5,2015,1.5 Petrol,"€17,950",/cars-for-sale/bmw-2-series-218i-luxury-auto/37411919
Autoxpress,Independent Dealer,2015,1.5 Petrol,"€14,500",/cars-for-sale/bmw-2-series-218i-1-5-gran-tourer-automatic-reve/37655086
BMW 420d msport+,2016,2.0 Diesel,"145,000 km","€22,000",/cars-for-sale/bmw-420d-msport/37442780
Well Priced Cars,Independent Dealer,2014,2.0 Diesel,"€12,750",/cars-for-sale/bmw-5-series-d-f10-luxury-4dr-auto/34294140
BMW 3-Series (318D) 2015 M Sport,2015,2.0 Diesel,"299,000 km","€10,750",/cars-for-sale/bmw-3-series-318d-2015-m-sport/37442769
Merlin Car Auctions,Independent Dealer,2015,2.0 Diesel,No price found,/cars-for-sale/bmw-5-series-seg1-5l32-1995/37654939
Anthony Conaghan Cars,Independent Dealer,2016,2.0 Diesel,"€20,995",/cars-for-sale/2016-bmw-318d-m-sport-auto-finance-available/36125592
BMW 520d M Sport,2015,2.0 Diesel,102 mi,"€18,500",/cars-for-sale/bmw-520d-m-sport/37496904
BMW X5 40e hybrid only 29k miles,2016,2.0 Petrol Plug-in Hybrid,"49,000 km","€29,900",/cars-for-sale/bmw-x5-40e-hybrid-only-29k-miles/37207265
BMW 3 series,2015,2.0 Diesel,"155,000 mi","€10,750",/cars-for-sale/bmw-3-series/37496775
Bmw 320d touring,2014,2.0 Diesel,"154,000 mi","€8,750",/cars-for-sale/bmw-320d-touring/37654949
Clondrinagh Motor Centre,Independent Dealer,2015,2.0 Diesel,"€10,950",/cars-for-sale/bmw-218d-sport-coupe-f22-manual-full-bmw-history/36798468
BMW 316 D,2015,2.0 Diesel,"207,000 km","€13,000",/cars-for-sale/bmw-316-d/37654829
2015 BMW 1 SERIES,2015,2.0 Diesel,"134,000 mi","€12,950",/cars-for-sale/2015-bmw-1-series/37496572
Quality Car Sales,Independent Dealer,2014,2.0 Diesel,"€13,950",/cars-for-sale/2014-bmw-5-series-520d-automatic/37518524
Merlin Car Auctions,Independent Dealer,2014,2.0 Diesel,No price found,/cars-for-sale/bmw-1-series-sport-1995/37653920
BMW 3-Series 2016,2016,2.0 Petrol Plug-in Hybrid,"176,339 km","€17,000",/cars-for-sale/bmw-3-series-2016/37496490
Merlin Car Auctions,Independent Dealer,2014,2.0 Diesel,No price found,/cars-for-sale/bmw-x5-xdrive-25d-se-g1-7-ks22-auto-1995/37653913
BMW 1 series,2014,1.6 Petrol,"80,000 km","€12,500",/cars-for-sale/bmw-1-series/36994115
BMW 3 Series,2015,2.0 Diesel,"154,000 km","€12,650",/cars-for-sale/bmw-3-series/37654513
BMW 420D Grand Coupe,2015,2.0 Diesel,"72,000 mi","€17,950",/cars-for-sale/bmw-420d-grand-coupe/36762924
Jack O'Sullivan Cars.ie,Independent Dealer,2015,3.0 Diesel,"€25,995",/cars-for-sale/2015bmw-640d-gran-coupe-m-sport/37589723
Jack O'Sullivan Cars.ie,Independent Dealer,2014,2.0 Diesel,"€15,995",/cars-for-sale/142-bmw-520d-m-sport-105-k-miles/37130553
Jack O'Sullivan Cars.ie,Independent Dealer,2016,1.5 Diesel,"€12,995",/cars-for-sale/2016bmw-2-series-only-51-k-miles/36949636
Top Spec Motors,Independent Dealer,2015,2.0 Diesel,"€22,800",/cars-for-sale/2015-152-bmw-420d-m-sport-gran-coupe-auto/37085776
Top Spec Motors,Independent Dealer,2016,2.0 Diesel,"€24,800",/cars-for-sale/2016-162-bmw-520d-m-sport-auto/37129653
Assured Autos,Independent Dealer,2014,2.0 Diesel,"€13,900",/cars-for-sale/bmw-320d-se-touring-auto-low-klms/37552428
BMW F30 320d msport,2014,2.0 Diesel,"121,000 mi","€16,000",/cars-for-sale/bmw-f30-320d-msport/37496063
2014 Bmw 3-Series EFFICIENTDYNAMICS,2014,2.0 Diesel,"211,370 mi","€9,000",/cars-for-sale/2014-bmw-3-series-efficientdynamics/37654171
161 BMW 520d M Sport,2016,2.0 Diesel,"85,000 mi","€22,950",/cars-for-sale/161-bmw-520d-m-sport/37581765
AK Automotive,Independent Dealer,2014,2.0 Diesel,"€11,950",/cars-for-sale/bmw-520d-se-high-spec-model/37631386?campaign=3
Tom Hand Cars,Independent Dealer,2015,2.0 Diesel,"€17,950",/cars-for-sale/bmw-520d-m-sport-pro-nav-2015-harmon-kardon/37626018?campaign=3
SPOTLIGHT,2016,2.0 Diesel,"147,000 mi","€12,500",/cars-for-sale/bmw-4-series-2016-gran-coupe/37468408?campaign=3
DUBLINCARS.IE,Independent Dealer,2016,3.0 Diesel,"€35,950",/cars-for-sale/bmw-x6-m-sport-x-drive-s-history-superb-finance/37568618
Je Car Sales Ltd,Independent Dealer,2016,2.0 Diesel,"€15,750",/cars-for-sale/bmw-520d-m-sport-estate-spotless-nct2-26/37633504
BMW 5-Series 2016,2016,2.0 Diesel,"195,000 km","€18,999",/cars-for-sale/bmw-5-series-2016/37556543
